name,co2,wfp
slices ginger quarter,0.84,1657.0
use soy sauce teaspoon salt,1.46,613.0
potatoes waxy potatoes,0.81,575.0
loaf round bread style bread seeds,0.86,667.0
split lentils pigeon peas toor dal,0.81,850.0
Mexi blend cheese,8.93,5253.0
sea,5.19,3543.5
wheat rotini,0.57,1639.0
beans cups template,2.26,801.0
slab bacon cut cubes,5.99,6116.0
piquillo peppers lengthwise peppers lengthwise,0.65,379.0
potatoes half lengthwise paper half circles,0.81,575.0
nuts peanuts cashews macadamias hazelnuts,1.11,11264.0
cinnamon stick x,0.84,15526.0
carton Cool Whip cream,5.45,3838.0
coconut cups nuts,1.07,1971.0
pureed zucchini,0.81,750.5
package chocolate,3.16,20717.0
anchovy fillets dry,0.82,2313.5
slices bread mine wheat,0.86,667.0
box banana cream instant pudding,5.45,3838.0
oz spears,0.45,1979.0
walnuts pcs,2.06,11264.0
lentils lb,0.52,5874.0
chili beans Chunky Brand,2.26,801.0
cheese cup kefalotyri,8.93,5253.0
bread cut half half use,0.86,667.0
hazelnut liqueur Frangelica,1.11,11264.0
potato wedges cut fries,0.24,555.0
apples apple liking,0.25,622.0
medium telegraph cucumbers,0.27,353.0
milk coffee creamer,5.45,3838.0
Campbell cream shrimp soup,5.45,3838.0
bartlett pears peel inch pieces,0.45,1979.0
steaks fish,2.2,2313.5
chocolate chips brand ounce amount bar template brand,3.16,20717.0
box carrot mix box Crocker Super Moist,0.24,195.0
rigatoni pasta tubulay,1.21,1508.0
Fiber cereal ground breadcrumb consistency,0.86,667.0
bottle shiner bock beer bock beer,0.69,155.0
bacon quarters,5.99,6116.0
orange blossom water tablespoons water,0.3,654.0
pimiento cup pepper,0.65,379.0
screwpine rice,2.19,1597.0
fillets salmon,3.37,2193.0
ginger spice vinegar notetemplate,0.84,1657.0
onion omit adjust liking,0.22,290.0
size pieces bread bread,0.86,667.0
coconut flavoring,1.07,1971.0
farfel barley egg noodles barley,0.48,1423.0
applesauce place oil,0.25,622.0
cheese ounces ounce portions quality grating cheese,8.93,5253.0
non dairy creamer Coffee Original Fat Free,5.45,3838.0
spaghetti winter squash spaghetti,0.33,336.0
Fontina cheese cup template cheese,8.93,5253.0
Rice Chex Crispix Chex cups corn flakes Crispix Chex work,2.19,1597.0
use rolls bread,0.86,667.0
pepper rings,0.65,379.0
banana discs,0.34,748.0
avocado juice browning,0.54,1805.0
head ENTIRE HEAD garlic,0.25,589.0
baby spinach cup watercress sprigs,0.81,834.0
package crocker oatmeal chocolate chip cookie mix,3.16,20717.0
medium carrots lengthwise cut pieces,0.81,750.5
banana peppers chilies,0.34,748.0
yams ounce cans potatoes syrup,0.81,575.0
applewood bacon cooked,5.99,6116.0
buitoni pesto sauce,2.72,2174.0
tomatoes cans ones,0.45,41.0
peanut butter crunchy creamy,8.48,5659.0
fine wheat bulgur bulghur burghul,0.57,1639.0
turnips cup rutabaga,0.25,195.0
cherry tomatoes tomatoes,0.46,1506.5
cup margarine cup template cup margarine,1.39,1324.0
fillets cod orange roughy,0.3,654.0
sugar Add cinnamon taste,0.84,15526.0
x,2.88,748.0
cucumbers jars,0.27,353.0
garden zucchini,0.81,750.5
pasta sauce tomato sauce Easy Super Good,1.21,1508.0
sweet potatoes lb g,0.81,575.0
currant preserves teaspoons preserves,0.64,499.0
peanut butter Chunky Smooth,8.48,5659.0
packet chocolate powder cocoa,3.16,20717.0
milk buttercream,8.48,5659.0
kraft cheese Parmesan cheese,8.93,5253.0
substitute halibut bass pacific flounder,5.19,798.0
oranges medium,0.3,654.0
drops lemons food colour,0.34,642.0
kidney beans water overnight,2.26,801.0
onion paper thin cup,0.22,290.0
orange navel step,0.3,654.0
baby spinach rocket,0.81,834.0
eye pinot wine,0.66,524.0
pink salmon pink tuna,3.37,2193.0
rice noodles thread vermicelli,2.19,1597.0
raisin regular,0.81,2636.5
potatoes semi cooked potatoes tender oven,0.81,575.0
Quaker Oats,0.67,1788.0
gold potato,0.24,555.0
medium potatoes size beef,0.81,575.0
peanut choice taste,0.45,1979.0
wheat rolls,0.57,1639.0
containers strawberry yogurt,0.61,413.0
butterscotch chips bag template,8.48,5659.0
rice rice yellow time,2.19,1597.0
whites egg replacer eggs,3.2,2562.0
fillets salmon steaks,3.37,2193.0
julienne tomatoes,0.45,41.0
sun tomatoes oil julienne,0.45,41.0
drumstick thigh,5.19,2202.0
spears stems,0.45,1979.0
peel orange orange wedges garnish,0.3,654.0
strawberry ice cream topping tablespoons strawberries,5.45,3838.0
pasta choice farfalle fusilli gemelli choices,1.21,1508.0
chocolate melt microwave,3.16,20717.0
buttermilk mix bisquick,8.48,5659.0
medium bell peppers membranes,0.65,379.0
marzano tomatoes liquid,0.45,41.0
salmon leftover salmon,3.37,2193.0
tomato chunks,0.45,41.0
medium bananas ripe,0.34,748.0
shortbread pie crusts,0.86,667.0
package meaty pork necks,5.99,6177.0
orange bell,0.3,654.0
vinegar rice wine,0.66,524.0
wine cup,0.66,524.0
kiwi pulp,0.49,514.0
beans garnish asparagus,2.26,801.0
yogurt soy milk,0.78,2030.0
jar creamy jar,5.45,3838.0
packages halves spoonful tofu surface,2.27,1724.0
coconut milk creamy,0.54,2030.0
package pillsbury chocolate cake mix,3.16,20717.0
orange Juices,0.46,1019.0
monterey jack cheese strings queso Oaxaca,8.93,5253.0
mozzarella cut pieces,8.2,5253.0
potatoes baby potatoes,0.81,575.0
provolone cheese divide,8.93,5253.0
cream sherry taste tablespoons,5.45,3838.0
quick cooking oatmeal,0.67,1788.0
margarine Earth Balance,1.39,1324.0
butter cup template form,8.48,5659.0
pasta orzo,1.21,1508.0
potatoes Yukon Gold potatoes,0.81,575.0
lettuce romaine works,0.41,237.0
summer squash ones holes grater processor,0.33,336.0
pappardelle pasta,1.21,1508.0
campbell cream asparagus soup,5.45,3838.0
vegetables carrots onion rutabaga cabbage,0.81,750.5
quinoa health food stores,0.97,1618.0
carrot crunch,0.24,195.0
package milk chocolate chips ounce package semisweet chocolate morsels,3.16,20717.0
chocolate hazelnut OPTIONAL omit pecans,3.16,20717.0
Smokies sausage cocktail sausages,5.99,6177.0
wheat buns,0.57,1639.0
heads lettuce heads,0.41,237.0
box frozen spinach directions hand moisture,0.81,834.0
quinoa FLAKES Ancient Harvest Brand,0.97,1618.0
cheese blend parm romano,8.93,5253.0
tomatoes tomatoes basil,0.45,41.0
onion medium size,0.22,290.0
cornbread bread,0.86,667.0
salmon liquid milk liquid,3.37,2193.0
slices cheese slices Dutch Garden,8.93,5253.0
margarine non margarine,1.39,1324.0
lentils hour water,0.52,5874.0
cornbread muffins cups,0.86,667.0
rice Uncle Ben,2.19,1597.0
slices bread slices wheat bread,0.86,667.0
cellentani pasta lb fusilli,1.21,1508.0
sun tomato rinse,0.45,41.0
peaches inch wedges,0.45,1979.0
pepper gloves irritation,0.65,379.0
tomato oil,0.45,41.0
olives Bottle,0.64,3015.0
pumpkin mix,0.24,336.0
ground pepper pinch,0.65,379.0
zucchini lengthwise inch pieces,0.81,750.5
butter note bottom,8.48,5659.0
homemade dumplings,5.19,2313.5
log chevre cheese goat cheese,8.93,5253.0
cheddar cheese Cabot Vermont Cheddar,8.93,5253.0
chili beans beans ounce cans beans beans,2.26,801.0
panini bread,0.86,667.0
use cloves chopped,0.84,61205.0
head broccoli pounds,0.57,336.0
cold rice use grain,2.19,1597.0
tomato taste,0.45,41.0
candy coating ounces milk coating,0.67,1788.0
broccoli cut flowerets stems,0.57,336.0
elbow ribbed pasta,1.21,1508.0
medium peppers lengthwise,0.65,379.0
onions inch wedges,0.22,290.0
grain rice mix Uncle Ben rice microwave,2.19,1597.0
home grown tomatoes,0.45,41.0
eggs run colour yolk,3.2,2562.0
beans cans,2.26,801.0
apples Golden Delicious work,0.25,622.0
clove use press,0.84,61205.0
onion strips strips,0.22,290.0
ground cinnamon tablespoon template,0.84,15526.0
stuff shaker,10.4,2313.5
basmati rice rinse soak,2.19,1597.0
plain oats,0.67,1788.0
package rice rice mix,2.19,1597.0
pinto beans ounce cans beans,2.26,801.0
Velveeta pepper jack cheese,8.93,5253.0
use applesauce,0.25,622.0
papayas seeds ripe firm,0.32,460.0
powder Parsley Salt Pepper,0.65,379.0
container blueberry yogurt,0.78,845.0
squid peices,5.8,1856.0
lemon rind tsp lemon juice,0.34,642.0
cranberries Spray Craisins measurement adjust tastes,0.81,2636.5
granny smith apples template pieces,0.25,622.0
lemon juice teaspoon orange juice,0.46,1019.0
apricots,0.3,1287.0
vegetables carrot mix,0.81,339.0
onion onion powder,0.22,290.0
citron peel cut fine,5.19,2313.5
orange liqueur use orange juice,0.46,1019.0
chilies chili peppers inches length,0.65,379.0
lite cranberry juice,2.86,1019.0
sun tomato vinaigrette Kraft Good Seasons brand results,0.45,41.0
inch pieces peppers,0.65,379.0
containers cream thawed,5.45,3838.0
pizza sauce tablespoon tomato sauce,0.45,41.0
pineapple sm drain juice,0.25,622.0
flour cup pasta template,1.21,1508.0
mayonnaise subs please,1.46,572.0
rice starch,2.19,1597.0
wedges oranges lemon,0.34,642.0
slices beefsteak tomatoes slices size English muffins,0.45,41.0
goat cheese cup feta,8.93,5253.0
squash squash zucchini,0.81,750.5
shell fusilli pasta,1.21,1508.0
cheese bits,8.93,5253.0
mango squares,0.31,1855.0
vegetables favourites cubes,0.81,339.0
slice bacon applewood,5.99,6116.0
onion chunky,0.22,290.0
chickpea flour,0.52,4177.0
chocolate pieces oz,3.16,20717.0
bibb lettuce pieces,0.41,237.0
ground pepper coarse,0.65,379.0
rice cereal cup oats,0.67,1788.0
eggplants lengthwise slices,0.19,362.0
sugar omit peaches,0.45,1979.0
cheddar cheese Cheddar Barrel New York Aged Reserve,8.93,5253.0
beans cup,2.26,801.0
onions skin onions,0.22,290.0
grape wine vinegar,0.66,524.0
piece orange rind use potato peeler strip,0.3,654.0
cranberries cherries apricots combination,0.3,1287.0
lemon thyme sprigs garnish,0.34,642.0
broccoli till tender,0.57,336.0
cheddar cheese Wensleydale cranberries,8.93,5253.0
raisin bread pieces slices,0.86,667.0
coriander seeds mortar pestle,0.84,8280.0
watermelon seeds cubed,0.61,1506.5
provolone cheese inch pieces,8.93,5253.0
yukon gold potatoes slices,0.81,575.0
package lima beans limas,2.26,801.0
slices crisp Hormel bacon pieces jar,5.99,6116.0
coconut milk use coconut milk powder mix cup,0.54,2030.0
wine vinegar knob butter,0.66,524.0
cocoa powder dutch gms,3.16,15618.0
tomato paste garlic oregano,1.3,855.0
pepper inch julienne strips,0.65,379.0
water chestnuts cubes cup,1.11,2750.0
vanilla sugar ice cream,5.45,3838.0
chocolate sprinkles semisweet chocolate,3.16,20717.0
almond extract imitation,1.88,11264.0
baby onions ounces shallots,0.22,290.0
slice wheat bread slice pita,0.86,667.0
clove Per Jar,0.84,61205.0
spectrum non margarine,1.39,1324.0
coffee STRONG,0.55,960.0
use coconut milk milk choice,0.54,2030.0
piece ginger cut strips,0.84,1657.0
banana yogurt cream,5.45,3838.0
package raspberry powder,0.64,413.0
honey peanuts kids,0.45,1979.0
Mrs Dash garlic herb type,0.25,589.0
slices bacon pieces crisp,5.99,6116.0
cheese Sargento cal,8.93,5253.0
kaffir lime lime,0.34,642.0
del monte garlic herb spaghetti,0.25,589.0
kaffir lime peices,0.34,642.0
beer drink beer,0.69,155.0
medium potatoes inches diameter,0.81,575.0
ripe tomato,0.45,41.0
kalamata olives choice,0.64,3015.0
snow pea bias,0.45,1979.0
papaya pieces,0.32,460.0
radish bunch,0.25,272.0
color pepper,0.65,379.0
ground sunflower seeds cup pumpkin seeds,0.24,336.0
hazelnut oil,1.11,11264.0
breadcrumbs works fav spices,0.86,667.0
bacon bits slices crisp,5.99,6116.0
apple juice sugar juice,2.86,1140.0
recipe tomatoes,0.45,41.0
crackers breadstick,0.86,667.0
vanilla soymilk almond milk,0.54,2030.0
onions ths pieces crosswise,0.22,290.0
butterscotch candies candies,8.48,5659.0
wheat pasta spiral template,1.21,1508.0
vegetables carrots onions potatoes,0.81,750.5
vanilla almond choice,1.88,11264.0
leafy lettuce size pieces,0.41,237.0
medium bell pepper cut inch pieces,0.65,379.0
ripe bananas food processor blender,0.34,748.0
lobster tail meat,20.25,1856.0
wine cooler,0.66,524.0
jalapeno peppers Carefully pepper seeds Remember,0.65,379.0
onion lengthwise slices,0.22,290.0
jar raspberry salsa,0.64,413.0
ice cream stick,5.45,3838.0
chocolate ounces chocolate,3.16,20717.0
slice ginger inch thick,0.84,1657.0
substitute apple Honey Crisp etc,0.25,622.0
wine vinegar brand dish,0.66,524.0
cream optional roast beef,5.45,3838.0
purchase peppers jars grocers,0.65,379.0
cranberry sauce berry,0.64,276.0
vanilla Almond Breeze skim soy milk,0.78,2030.0
wine glasses,0.66,524.0
liter root beer,0.69,155.0
fennel bulb chunks,0.33,362.0
celery medium dice,0.33,362.0
chili pepper flakes,0.65,379.0
pork butterfly steaks,8.48,5659.0
florets substitute cauliflower,0.31,285.0
oil tablespoons oil coconut oil,2.11,4490.0
milk chocolate chips ounces butter,3.16,20717.0
mango cut cubes decoration optional,0.31,1855.0
dates Medjool pieces,0.81,2636.5
bananas size,0.34,748.0
cheese milder blue flavor,8.93,5253.0
lettuce etc,0.41,237.0
buckwheat honey,0.57,1639.0
bell peppers squares cups,0.65,379.0
oat bran cup wheat germ,0.67,1788.0
pepper seasoning pepper pepper pepper place Mr Pepper seasonin,0.65,379.0
slices bacon slices bacon crisp,5.99,6116.0
port wine quality cup,0.66,524.0
pasta ounces warm,1.21,1508.0
raspberry vinegar notetemplate,0.64,413.0
dash tangerine juice,0.34,748.0
apple crispini,0.25,622.0
eggs calls,3.2,2562.0
emmenthaler cheese cheese,8.93,5253.0
iron steaks salt pepper,0.65,379.0
peppers choice pepper,0.65,379.0
rise yeast Bread Machine Style Yeast,0.86,667.0
porridge oats oats,0.67,1788.0
grapes mixture cup chunks mixture,0.31,608.0
linguine quality pasta,1.21,1508.0
beans crosswise lengths,2.26,801.0
spicy marinara sauce simmer pepper flakes,0.65,379.0
onions tablespoons onion juice,0.22,290.0
package cream cheese light,8.93,5253.0
medium carrot cut slices cup,0.24,195.0
cream cheese mascarpone,8.93,5253.0
potato grater size,0.24,555.0
peppers habanero peppers,0.65,379.0
medium bell peppers squares,0.65,379.0
slices wheat bread slices crusts,0.86,667.0
bone chicken pieces thighs drumsticks breasts,5.19,2202.0
roma tomato cut crosswise thick slices,0.45,41.0
wheat flakes cereal Wheaties,0.57,1639.0
cream light Cream half half,5.45,3838.0
part mozzarella cheese cup,8.93,5253.0
salt pepper,0.65,379.0
limes juice rind,0.34,642.0
fruit e g raisins cranberries cherries,0.81,2636.5
butter blobs,8.48,5659.0
onions lb,0.22,290.0
virgin oil extra pan drizzling,5.19,2313.5
milk Buttermilk,8.48,5659.0
juice lime soda pop,0.34,642.0
chocolate chips Nestle brand minis sink bottom bread,0.86,667.0
firm apple Golden Delicious inch pieces,0.25,622.0
size julinne bell pepper,0.65,379.0
medium onion onion,0.22,290.0
Rotel Tomatoes Original,0.45,41.0
wheat pasta Dreamfield Brand photos recipe,1.21,1508.0
butternut squash medium,8.48,5659.0
almonds teaspoons nuts,1.88,11264.0
cream yogurt buttermilk,8.48,5659.0
bell pepper cut pieces bell peppers use,0.65,379.0
parmesan cheese piece,8.93,5253.0
herb bread mix,0.86,667.0
package bacon thin,5.99,6116.0
applesauce Motts Naturals,0.25,622.0
slices firm tofu x x inch,2.27,1724.0
sachet sugar raspberry gelatin,0.64,413.0
bread day ciabatta day,0.86,667.0
firm ripe pears half,0.45,1979.0
jasmine rice cup rice,2.19,1597.0
pinch salt ground pepper,0.65,379.0
slices milk mozzarella cheese,8.93,5253.0
bunch asparagus cut segments,0.83,2150.0
wine apple cider apple brandy sherry,0.66,524.0
plum tomatoes cherry tomatoes,0.46,1506.5
raspberry blueberries,0.64,413.0
pears medium ripe lengthwise,0.45,1979.0
slices bacon style thick pieces,5.99,6116.0
quality organic tomatoes,0.45,41.0
hunt cheese pasta sauce,1.21,1508.0
cayenne pepper omit Jack cheese,8.93,5253.0
instant potatoes granules,0.81,575.0
bacon slices bacon,5.99,6116.0
spread Kraft Sharp Cheddar Easy Cheese,8.93,5253.0
oranges cut segments segments juice,0.3,654.0
scoop mango sherbet,0.31,1855.0
piece thick slab bacon inch,5.99,6116.0
butter Cut Pieces,8.48,5659.0
mayonnaise point,1.46,572.0
float dark rum,0.67,1788.0
liquid egg substitute eggs,3.2,2562.0
slices chopped bacon,5.99,6116.0
cinnamon candies hots,0.84,15526.0
breadcrumbs bread crusts,0.86,667.0
chevre cheese ounces,8.93,5253.0
apple cider vinegar,0.25,622.0
walnuts hand,2.06,11264.0
ground cinnamon zucchini,0.81,750.5
orange pulp medium,0.3,654.0
bananas bias,0.34,748.0
kidney beans pinto beans,2.26,801.0
sausage casings breakfast sausages,5.99,6177.0
bottle mild beer Budweiser,0.69,155.0
torani sugar strawberry syrup,0.61,413.0
ground pepper stuff,0.65,379.0
vegetables cups,0.81,339.0
teaspoonlemons,0.34,642.0
canola oil frying dumplings,5.19,2313.5
use soy sauce,1.46,613.0
potatoes inch slices,0.81,575.0
ripe plum tomatoes slices,0.32,2180.0
macadamia nuts cup almond medium,1.88,11264.0
juice buttermilk,8.48,5659.0
goat cheese herb,8.93,5253.0
peas lengths,0.81,850.0
semi sun tomato ones,0.45,41.0
butter casserole,8.48,5659.0
star anise points,0.84,8280.0
cucumbers skinny ones,0.27,353.0
cheese template choice,8.93,5253.0
toll chocolate chips,3.16,20717.0
ditalini pasta,1.21,1508.0
muenster cheese cups template choice,8.93,5253.0
plain breadcrumbs cup bread crumb,0.86,667.0
coarsley cauliflower,0.31,285.0
grapes accompaniment,0.31,608.0
orange flavoring extract,0.3,654.0
millilitre bottle ginger beer,0.69,155.0
style bread crumbs panko tablespoons breadcrumbs,0.86,667.0
mango orange chutney notetemplate,0.31,1855.0
square cheesecloth,8.93,5253.0
mozzarella Tbsp Parmesan egg parsley,8.2,5253.0
box spaghetti pasta,1.21,1508.0
slices tomatoes oil,0.45,41.0
oats,0.57,1081.0
apple butter homemade,8.48,5659.0
breadcrumbs sourdough bread,0.86,667.0
chocolate tablespoons caramels,3.16,20717.0
slices cut cubes soda bread notetemplate,0.86,667.0
peanut butter couple TBSP warm water,8.48,5659.0
spinach g ounce,0.81,834.0
beans lengthwise strips,2.26,801.0
milk chocolate milk ounces milk,3.16,20717.0
cranberries raisins,0.81,2636.5
lemon slivers,0.34,642.0
peppers pepper cut slices,0.65,379.0
salmon salmon pink,3.37,2193.0
bananas mine blender lumps,0.34,748.0
coconut rum,1.07,1971.0
bread pieces style pita bread,0.86,667.0
pre potatoes wedges,0.81,575.0
spinach combination lettuces,0.81,834.0
nuts choice walnuts,2.06,11264.0
bunch broccoli stalks florets seperate stalks,0.57,336.0
medium apple kind,0.25,622.0
coriander cumin powder,0.84,8280.0
oat Chex cereal,0.67,1788.0
w chili beans,2.26,801.0
seashell pasta noodles,1.21,1508.0
casings sausage mixture patties link sausages,5.99,6177.0
suavignon wine,0.66,524.0
peppercorns teaspoon ground,0.65,379.0
tomato passata ml tomatoes,0.45,41.0
chocolate kisses almonds,3.16,20717.0
emmenthaler cheese ounces,8.93,5253.0
granny smith apple rinse juice discoloration,0.25,622.0
Wheat Chex pans,0.57,1639.0
onions teaspoon salt,0.22,290.0
bell peppers coarse,0.65,379.0
onion Chopped,0.22,290.0
turnips wedges,0.25,195.0
cream fresh,5.45,3838.0
coconut flakes garnish,1.07,1971.0
slices bread types bread,0.86,667.0
fillet turbot,5.19,1504.0
cream bailey,5.45,3838.0
tomatoes garden,0.45,41.0
cherry peppers vinegar,0.46,1506.5
eggs whites peaks,3.2,2562.0
slices wheat bread use raisin bread treat,0.86,667.0
onion Finely,0.22,290.0
scotch bonnet peppers jalapeno pepper,0.65,379.0
ginger ale use club soda drink,0.84,1657.0
package cream cheese room temp Neufchatel,8.93,5253.0
slices light cheese,8.93,5253.0
milk chocolate candy bars size e g Hershey,3.16,20717.0
package Chinese wheat noodles,0.57,1639.0
hamburger bun halves slices bread,0.86,667.0
chocolate wafer,3.16,20717.0
bell peppers template squares,0.65,379.0
stalks spearmint,0.45,1979.0
raspberry vinaigrette vinaigrette maple farms,0.64,413.0
bittersweet chocolate bar Cacao,3.16,20717.0
cream tablespoons butter,8.48,5659.0
chocolate fudge line glass decorate top,3.16,20717.0
chocolate syrup Hershey Lite,3.16,20717.0
lime juice juice lime juiciness lime,0.34,642.0
guacamole cream,5.45,3838.0
strawberry berries peaches,0.45,1979.0
head medium cauliflower cut florets cups,0.31,285.0
tomato sauce rinse water,0.45,41.0
bow tie pasta farfalle medium pasta,1.21,1508.0
plain yogurt vanilla yogurt orange,0.3,654.0
milk miniature chocolate chip,3.16,20717.0
package spinach broccoli,0.81,834.0
sugar orange marmalade,0.3,654.0
slices bread side,0.86,667.0
calcium orange juice,0.46,1019.0
pepper spiciness,0.65,379.0
orange chunks skin,0.3,654.0
jalapeno peppers cup,0.65,379.0
onion cut quarters crosswise,0.22,290.0
ground pork Johnsonville breakfast sausages,5.99,6177.0
blocks cheese,8.93,5253.0
blackberry preserves preserves sugar version,0.64,413.0
tomato sauce sort,0.45,41.0
tomatoes use plum,0.32,2180.0
cloves press mortar pestle,0.84,61205.0
pepper medium grind,0.65,379.0
slices bread slices,0.86,667.0
tapatio pepper sauce,0.65,379.0
cauliflower bit size pieces,0.31,285.0
rice chicken rice template chicken rice,2.19,1597.0
tomato sauce ounce cans,0.45,41.0
slices rind orange part inch,0.3,654.0
butter butter spray calories,8.48,5659.0
wheat cup wheat,0.57,1639.0
apples stalks,0.25,622.0
cream Carnation,5.45,3838.0
firm roma tomatoes half lengthwise,0.45,41.0
loaf sourdough bread inch round,0.86,667.0
mayonnaise Balance,1.46,572.0
cardamom pods ones,0.84,34319.0
Grand Marnier tablespoon fragolino di nemi strawberry liqueur,0.61,413.0
habanero pepper adjust preference,0.65,379.0
tomatoes need,0.45,41.0
Braggs aminos teaspoon sodium soy sauce,1.46,613.0
tomatoes half inch slices,0.45,41.0
coconut use,1.07,1971.0
lemon zest juice lemon,0.34,642.0
tomatoes garden tomatoes vine store,0.45,41.0
mini size chocolate style cookies,3.16,20717.0
apples Golden Delicious Jonagold,0.25,622.0
quality cinnamon,0.84,15526.0
Cool Whip Lite filling,5.19,2313.5
bean,1.32,2523.0
zucchini medium template,0.81,750.5
blackberry seedless,0.64,413.0
romaine lettuce hearts head,0.41,237.0
quarts ripe tomatoes tomatoes,0.45,41.0
breadcrumbs cracker crumb,0.86,667.0
pureed papaya,0.32,460.0
mayonnaise Vegenaise dairy,1.46,572.0
serve rice noodles,2.19,1597.0
mustard seeds markets spice shops,0.88,2809.0
pepper sauce eg Tabasco,0.65,379.0
rice blend rice rice,2.19,1597.0
soy dairy firm tofu,2.27,1724.0
pepper flakes oil jar peppers oil,0.65,379.0
julienne onion,0.22,290.0
garlic croutons recipe zaar,0.25,589.0
shallots template chopped,0.25,272.0
malt drink powder,0.57,1950.0
frozen berries pieces strawberries ice cream,5.45,3838.0
box cream Pasta Roni,1.21,1508.0
sour cream ounces,5.45,3838.0
coconut chocolate sprinkles,3.16,20717.0
onions teaspoon onion,0.22,290.0
semisweet chocolate ounces pieces,3.16,20717.0
granny smith apples slices Gala apples,0.25,622.0
cheese cream,8.93,5253.0
pepper packing water,0.65,379.0
chocolate chips cups vanilla chips,3.16,20717.0
slices bacon bacon streaky,5.99,6116.0
apple pie spice cinnamon,0.25,622.0
heads lettuce,0.41,237.0
cubed mangoes,0.31,1855.0
calorie butter Brummel Brown Spread,8.48,5659.0
Cointreau liqueur tablespoon orange liqueur,0.3,654.0
idaho potatoes cut wedges,0.81,575.0
cream cheese notes suggestions,8.93,5253.0
dates sweeter result proportion dates,0.81,2636.5
cod fillet haddock sea bass orange roughy work,0.3,654.0
pine nuts butter,8.48,5659.0
semisweet chocolate food processor,3.16,20717.0
sweet potato cut mm slices,0.24,555.0
cream cup cream cream,5.45,3838.0
turnip chopped,0.25,195.0
sardines kg scales,0.9,2313.5
onions medium cups,0.22,290.0
macaroni dry wheat,0.57,1639.0
baby carrots Organic,0.81,750.5
celery celery fresh,0.33,362.0
milk chocolate cut inch pieces,3.16,20717.0
plump raisins ounces template,0.32,2180.0
cream mashed potatoes,0.81,575.0
use margarine lard,1.39,1324.0
lemon peel strips lemon cut slivers,0.34,642.0
lemon lime beverage Sprite,0.34,642.0
bananas lbs medium,0.34,748.0
pulp orange juice concentrate,0.46,1019.0
quinoa flakes,0.97,1618.0
slices squash,0.33,336.0
onion seeds cumin,0.22,290.0
